3.0996e-02	6.6638e-01
3.1027e-02	6.6656e-01
3.1058e-02	6.6677e-01
3.1089e-02	6.6698e-01
3.1120e-02	6.6720e-01
3.1151e-02	6.6744e-01
3.1183e-02	6.6768e-01
3.1214e-02	6.6793e-01
3.1246e-02	6.6820e-01
3.1277e-02	6.6846e-01
3.1309e-02	6.6874e-01
3.1340e-02	6.6902e-01
3.1372e-02	6.6930e-01
3.1403e-02	6.6959e-01
3.1435e-02	6.6988e-01
3.1467e-02	6.7018e-01
3.1499e-02	6.7048e-01
3.1531e-02	6.7077e-01
3.1563e-02	6.7107e-01
3.1595e-02	6.7137e-01
3.1627e-02	6.7167e-01
3.1660e-02	6.7196e-01
3.1692e-02	6.7226e-01
3.1724e-02	6.7254e-01
3.1757e-02	6.7283e-01
3.1789e-02	6.7311e-01
3.1822e-02	6.7339e-01
3.1854e-02	6.7366e-01
3.1887e-02	6.7392e-01
3.1920e-02	6.7418e-01
3.1953e-02	6.7443e-01
3.1986e-02	6.7467e-01
3.2019e-02	6.7490e-01
3.2052e-02	6.7512e-01
3.2085e-02	6.7533e-01
3.2118e-02	6.7554e-01
3.2151e-02	6.7573e-01
3.2184e-02	6.7591e-01
3.2218e-02	6.7608e-01
3.2251e-02	6.7624e-01
3.2285e-02	6.7638e-01
3.2318e-02	6.7652e-01
3.2352e-02	6.7664e-01
3.2386e-02	6.7674e-01
3.2420e-02	6.7684e-01
3.2454e-02	6.7692e-01
3.2487e-02	6.7698e-01
3.2521e-02	6.7704e-01
3.2556e-02	6.7707e-01
3.2590e-02	6.7710e-01
3.2624e-02	6.7710e-01
3.2658e-02	6.7710e-01
3.2693e-02	6.7707e-01
3.2727e-02	6.7704e-01
3.2762e-02	6.7698e-01
3.2796e-02	6.7692e-01
3.2831e-02	6.7683e-01
3.2866e-02	6.7673e-01
3.2900e-02	6.7662e-01
3.2935e-02	6.7649e-01
3.2970e-02	6.7634e-01
3.3005e-02	6.7618e-01
3.3040e-02	6.7600e-01
3.3076e-02	6.7580e-01
3.3111e-02	6.7559e-01
3.3146e-02	6.7536e-01
3.3182e-02	6.7512e-01
3.3217e-02	6.7486e-01
3.3253e-02	6.7459e-01
3.3288e-02	6.7430e-01
3.3324e-02	6.7400e-01
3.3360e-02	6.7367e-01
3.3396e-02	6.7334e-01
3.3432e-02	6.7298e-01
3.3468e-02	6.7262e-01
3.3504e-02	6.7223e-01
3.3540e-02	6.7183e-01
3.3576e-02	6.7142e-01
3.3613e-02	6.7099e-01
3.3649e-02	6.7055e-01
3.3685e-02	6.7009e-01
3.3722e-02	6.6961e-01
3.3759e-02	6.6912e-01
3.3795e-02	6.6862e-01
3.3832e-02	6.6810e-01
3.3869e-02	6.6757e-01
3.3906e-02	6.6702e-01
3.3943e-02	6.6646e-01
3.3980e-02	6.6588e-01
3.4018e-02	6.6529e-01
3.4055e-02	6.6468e-01
3.4092e-02	6.6406e-01
3.4130e-02	6.6343e-01
3.4167e-02	6.6278e-01
3.4205e-02	6.6212e-01
3.4243e-02	6.6145e-01
3.4280e-02	6.6076e-01
3.4318e-02	6.6006e-01
3.4356e-02	6.5934e-01
3.4394e-02	6.5861e-01
3.4432e-02	6.5787e-01
3.4471e-02	6.5711e-01
3.4509e-02	6.5635e-01
3.4547e-02	6.5556e-01
3.4586e-02	6.5477e-01
3.4624e-02	6.5396e-01
3.4663e-02	6.5314e-01
3.4702e-02	6.5231e-01
3.4741e-02	6.5147e-01
3.4779e-02	6.5061e-01
3.4818e-02	6.4974e-01
3.4857e-02	6.4886e-01
3.4897e-02	6.4796e-01
3.4936e-02	6.4705e-01
3.4975e-02	6.4613e-01
3.5015e-02	6.4520e-01
3.5054e-02	6.4426e-01
3.5094e-02	6.4330e-01
3.5134e-02	6.4234e-01
3.5173e-02	6.4136e-01
3.5213e-02	6.4037e-01
3.5253e-02	6.3936e-01
3.5293e-02	6.3835e-01
3.5333e-02	6.3732e-01
3.5374e-02	6.3628e-01
3.5414e-02	6.3523e-01
3.5454e-02	6.3417e-01
3.5495e-02	6.3310e-01
3.5535e-02	6.3201e-01
3.5576e-02	6.3092e-01
3.5617e-02	6.2981e-01
3.5658e-02	6.2869e-01
3.5699e-02	6.2756e-01
3.5740e-02	6.2642e-01
3.5781e-02	6.2527e-01
3.5822e-02	6.2410e-01
3.5864e-02	6.2293e-01
3.5905e-02	6.2174e-01
3.5947e-02	6.2054e-01
3.5988e-02	6.1933e-01
3.6030e-02	6.1811e-01
3.6072e-02	6.1688e-01
3.6114e-02	6.1564e-01
3.6156e-02	6.1439e-01
3.6198e-02	6.1312e-01
3.6240e-02	6.1185e-01
3.6283e-02	6.1056e-01
3.6325e-02	6.0926e-01
3.6368e-02	6.0795e-01
3.6410e-02	6.0663e-01
3.6453e-02	6.0530e-01
3.6496e-02	6.0396e-01
3.6539e-02	6.0260e-01
3.6582e-02	6.0124e-01
3.6625e-02	5.9986e-01
3.6668e-02	5.9848e-01
3.6712e-02	5.9708e-01
3.6755e-02	5.9567e-01
3.6799e-02	5.9425e-01
3.6842e-02	5.9282e-01
3.6886e-02	5.9138e-01
3.6930e-02	5.8992e-01
3.6974e-02	5.8846e-01
3.7018e-02	5.8698e-01
3.7062e-02	5.8550e-01
3.7106e-02	5.8400e-01
3.7151e-02	5.8249e-01
3.7195e-02	5.8097e-01
3.7240e-02	5.7944e-01
3.7285e-02	5.7790e-01
3.7329e-02	5.7635e-01
3.7374e-02	5.7479e-01
3.7419e-02	5.7321e-01
3.7464e-02	5.7163e-01
3.7510e-02	5.7003e-01
3.7555e-02	5.6842e-01
3.7600e-02	5.6680e-01
3.7646e-02	5.6518e-01
3.7692e-02	5.6353e-01
3.7738e-02	5.6188e-01
3.7783e-02	5.6022e-01
3.7829e-02	5.5855e-01
3.7876e-02	5.5686e-01
3.7922e-02	5.5517e-01
3.7968e-02	5.5346e-01
3.8015e-02	5.5175e-01
3.8061e-02	5.5002e-01
3.8108e-02	5.4828e-01
3.8155e-02	5.4653e-01
