2.0000	0.000
2.0200	0.000
2.0400	0.000
2.0600	0.000
2.0800	0.000
2.1000	0.000
2.1200	0.000
2.1400	0.000
2.1600	0.000
2.1800	0.000
2.2000	0.000
2.2200	0.000
2.2400	0.000
2.2600	0.000
2.2800	0.000
2.3000	0.000
2.3200	0.000
2.3400	0.000
2.3600	0.000
2.3800	0.000
2.4000	0.000
2.4200	0.000
2.4400	0.000
2.4600	0.000
2.4800	0.000
2.5000	0.003
2.5126	0.002
2.5253	0.002
2.5381	0.002
2.5510	0.002
2.5641	0.002
2.5773	0.002
2.5907	0.002
2.6042	0.002
2.6178	0.002
2.6316	0.002
2.6455	0.001
2.6596	0.001
2.6738	0.001
2.6882	0.001
2.7027	0.001
2.7174	0.000
2.7322	0.000
2.7473	0.000
2.7624	0.000
2.7778	0.000
2.7933	0.000
2.8090	0.000
2.8249	0.000
2.8409	0.000
2.8571	0.000
2.8736	0.000
2.8902	0.000
2.9070	0.000
2.9240	0.000
2.9412	0.000
2.9586	0.000
2.9762	0.000
2.9940	0.000
3.0120	0.000
3.0303	0.000
3.0488	0.000
3.0675	0.001
3.0864	0.000
3.1056	0.000
3.1250	0.001
3.1447	0.001
3.1646	0.001
3.1847	0.001
3.2051	0.000
3.2258	0.001
3.2468	0.000
3.2680	0.001
3.2895	0.001
3.3113	0.001
3.3333	0.001
3.3557	0.001
3.3784	0.001
3.4014	0.001
3.4247	0.001
3.4483	0.001
3.4722	0.001
3.4965	0.001
3.5211	0.001
3.5461	0.001
3.5714	0.001
3.5971	0.001
3.6232	0.001
3.6496	0.001
3.6765	0.001
3.7037	0.001
3.7313	0.001
3.7594	0.001
3.7879	0.001
3.8168	0.001
3.8462	0.001
3.8760	0.001
3.9063	0.000
3.9370	0.000
3.9683	0.000
4.0000	0.000
4.0323	0.000
4.0650	0.000
4.0984	0.000
4.1322	0.000
4.1667	0.000
4.2017	0.000
4.2373	0.000
4.2735	0.000
4.3103	0.000
4.3478	0.000
4.3860	0.001
4.4248	0.001
4.4643	0.001
4.5045	0.001
4.5455	0.001
4.5872	0.001
4.6296	0.001
4.6729	0.001
4.7170	0.001
4.7619	0.001
4.8077	0.001
4.8544	0.000
4.9020	0.000
4.9505	0.000
5.0000	0.001
